External Library Name, Link to License, License Name, Binaries using the license.
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
astc-codec, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master/LICENSE, Apache-2.0, OpenglRender.dll, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libGLES_CM.dll ./emulator.exe lib64/gles_swiftshader/libGLESv2.dll lib64/gles_swiftshader/libEGL.dll, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator.exe, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/mesa_opengl32.dll ./emulator.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt WebChannel, https://doc.qt.io/qt-5.12/qtWebChannel-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt WebEngineWidgets, https://doc.qt.io/qt-5.12/qtWebEngineWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
