External Library Name, Link to License, License Name, Binaries using the license.
glib-2.0, https://gitlab.gnome.org/GNOME/glib/blob/master/COPYING, LGPL-2.1-only, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe lib64/glib-2-vs11.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/glib-2.38.2.tar.xz
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
vcredist, https://marketplace.visualstudio.com/items/VisualStudioProductTeam.VisualStudioProjectSystemExtensibilityPreview/license, 2017-redistribution-vs, lib64/msvcp140_2.dll lib64/vcruntime140_1.dll ./vcruntime140.dll ./msvcp140_1.dll ./msvcp140_2.dll lib64/msvcp140_atomic_wait.dll ./vcruntime140_1.dll ./emulator.exe lib64/concrt140.dll lib64/vcruntime140.dll lib64/msvcp140_codecvt_ids.dll ./msvcp140_atomic_wait.dll ./vccorlib140.dll ./msvcp140.dll lib64/msvcp140.dll lib64/vccorlib140.dll ./msvcp140_codecvt_ids.dll ./concrt140.dll lib64/msvcp140_1.dll, https://docs.microsoft.com/en-us/visualstudio/productinfo/2017-redistribution-vs
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/libshadertranslator.dll OpenglRender.dll ./emulator.exe, https://chromium.googlesource.com/angle/angle
None, Apache-2.0, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./mksdcard.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./perfetto-protozero-protoc-plugin.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, 
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt Network, https://doc.qt.io/qt-5.12/qtNetwork-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
protobuf, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev/NOTICE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./perfetto-protozero-protoc-plugin.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev
libprotobuf, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev/NOTICE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./perfetto-protozero-protoc-plugin.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev
Qt WebSockets, https://doc.qt.io/qt-5.12/qtWebSockets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libGLESv2.dll lib64/gles_angle/d3dcompiler_47.dll ./emulator.exe lib64/gles_angle/libEGL.dll, https://chromium.googlesource.com/angle/angle
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
